State,Constituency,Division/Seat No.,Name of Member
Andaman and Nicobar Islands                                 ,Andaman and Nicobar Islands,512,Shri  Bishnu Pada  Ray                                               
Andhra Pradesh                                              ,Kurnool,62,Shri  K. J.S.P.  Reddy                                             
Andhra Pradesh                                              ,Malkajgiri,66,Shri   Sarvey  Sathyanarayana                                    
Andhra Pradesh                                              ,Mahabubabad,69,Shri  P.  Balram  Naik                                      
Andhra Pradesh                                              ,Srikakulam,70,Dr.  Krupa Rani  Killi                                             
Andhra Pradesh                                              ,Nizamabad,76,Shri  Madhu Goud  Yaskhi                                            
Andhra Pradesh                                              ,Anakapalli,88,Shri  Sabbam  Hari                                              
Andhra Pradesh                                              ,Rajampet,104,Shri  A. Sai Prathap  
Andhra Pradesh                                              ,Tirupati,106,Dr.    Chinta Mohan                                      
Andhra Pradesh                                              ,Eluru,108,Dr.  Kavuri Samba Siva  Rao                                               
Andhra Pradesh                                              ,Guntur,113,Shri   Rayapati S.  Rao                                               
Andhra Pradesh                                              ,Nagarkurnool,115,Dr.  Manda  Jagannath                                         
Andhra Pradesh                                              ,Anantapur,116,Shri  A. Venkatarami  Reddy                                             
Andhra Pradesh                                              ,Ongole,127,Shri  Magunta Srinivasulu  Reddy                                             
Andhra Pradesh                                              ,Secunderabad,143,Shri  Anjan Kumar  Yadav. M                                          
Andhra Pradesh                                              ,Nalgonda,144,Shri  Gutha  Sukender Reddy                                    
Andhra Pradesh                                              ,Amalapuram,145,Shri  G.V.  Harsha Kumar                                      
Andhra Pradesh                                              ,Rajahmundry,146,Shri  Aruna Kumar  Vundavalli                                        
Andhra Pradesh                                              ,Nandyal,147,Shri  S.P.Y.  Reddy                                             
Andhra Pradesh                                              ,Vijayawada,150,Shri    Lagadapati   Rajagopal                            
Andhra Pradesh                                              ,Vizianagaram,151,Smt.    Botcha Jhansi Lakshmi                             
Andhra Pradesh                                              ,Narsapuram,153,Shri    Bapiraju  Kanumuru                                
Andhra Pradesh                                              ,Karimnagar,170,Shri  Prabhakar  Ponnam                                            
Andhra Pradesh                                              ,Peddapalle,177,Dr.  G.  Vivekanand                                        
Andhra Pradesh                                              ,Zahirabad,178,Shri  Suresh Kumar  Shetkar                                           
Andhra Pradesh                                              ,Hyderabad,201,Shri  Asaduddin  Owaisi                                            
Andhra Pradesh                                              ,Bhongir,218,Shri  K. R. G.  Reddy                                             
Andhra Pradesh                                              ,Warangal,219,Shri  Rajaiah  Siricilla                                         
Andhra Pradesh                                              ,Nellore,363,Shri  Mekapati Rajamohan  Reddy                                             
Andhra Pradesh                                              ,Mahabubnagar,375,Shri  K. Chandrasekhar  Rao                                               
Andhra Pradesh                                              ,Khammam,388,Shri  Nama Nageswara  Rao                                               
Andhra Pradesh                                              ,Adilabad,397,Shri  Ramesh  Rathod                                            
Andhra Pradesh                                              ,Medak,398,Ms.  M. Vijaya  Shanthi                                           
Andhra Pradesh                                              ,Machilipatnam,408,Shri  K. Narayana  Rao                                               
Andhra Pradesh                                              ,Narasaraopet,418,Shri  Modugula Venugopala  Reddy                                             
Andhra Pradesh                                              ,Chittoor,419,Shri  Naramalli  Sivaprasad                                        
Andhra Pradesh                                              ,Hindupur,429,Shri  Kristappa  Nimmala                                           
Arunachal Pradesh                                           ,Arunachal East,67,Shri  Ninong  Ering                                             
Arunachal Pradesh                                           ,Arunachal West,94,Shri  Takam  Sanjoy                                            
Assam                                                       ,Lakhimpur,65,Smt.  Ranee  Narah                                             
Assam                                                       ,Barpeta,92,Shri  Ismail Hussain  
Assam                                                       ,Jorhat,103,Shri  Bijoy Krishna  Handique                                          
Assam                                                       ,Autonomous District,107,Shri  Biren Singh  Engti                                             
Assam                                                       ,Kaliabor,124,Shri  Dip  Gogoi                                             
Assam                                                       ,Karimganj,148,Shri  Lalit  Mohan  Suklabaidya                                       
Assam                                                       ,Kokrajhar,202,Shri  Sansuma Khunggur  Bwiswmuthiary                                     
Assam                                                       ,Dhubri,210,Shri  Badruddin  Ajmal                                             
Assam                                                       ,Mangaldoi,405,Shri  Ramen  Deka                                              
Assam                                                       ,Tezpur,447,Shri  Joseph  Toppo                                             
Assam                                                       ,Silchar,468,Shri  Kabindra  Purkayastha                                       
Assam                                                       ,Gauhati,470,Smt.  Bijoya  Chakravarty                                       
Assam                                                       ,Nawgong,497,Shri  Rajen  Gohain                                            
Bihar                                                       ,Kishanganj,93,Shri  Mohammad Asrarul  Haque                                             
Bihar                                                       ,Saran,188,Shri    Lalu Prasad                                       
Bihar                                                       ,Vaishali,203,Dr.  Raghuvansh Prasad  Singh                                             
Bihar                                                       ,Siwan,249,Shri  Om Prakash  Yadav                                             
Bihar                                                       ,Buxar,260,Shri  Jagada Nand  Singh                                             
Bihar                                                       ,Maharajganj,261,Shri  Uma Shanaker  Singh                                             
Bihar                                                       ,Madhepura,366,Shri  Sharad  Yadav                                             
Bihar                                                       ,Hajipur,369,Shri  Ram Sundar  Das                                               
